,name,class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,p03307_s129993146,3,38.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,265.0,136.0,0.0,0.0,0.0,37.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,0.0,21.0,0.0,1.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0
1,p03803_s387083090,3,3.0,9.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,7.0,11.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0
2,p03435_s529384411,3,254.0,319.0,2.0,0.0,36.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,35.0,0.0,34.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,27.0,0.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0,0.0,0.0,54.0,24.0,803.0,1001.0,772.0,0.0,0.0,0.0,538.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,418.0,0.0,80.0,0.0,7.0,0.0,0.0,651.0,0.0,28.0,0.0,0.0
3,p02891_s049837110,3,89.0,79.0,0.0,0.0,17.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,18.0,0.0,17.0,0.0,9.0,0.0,5.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,8.0,190.0,331.0,238.0,0.0,0.0,0.0,302.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,109.0,0.0,24.0,0.0,3.0,0.0,0.0,165.0,0.0,16.0,0.0,0.0
4,p02917_s101096709,3,52.0,56.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,8.0,0.0,6.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,121.0,170.0,145.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,43.0,0.0,19.0,0.0,1.0,0.0,0.0,65.0,0.0,7.0,0.0,0.0
5,p02888_s000250075,3,47.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,26.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,316.0,169.0,0.0,0.0,0.0,42.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,28.0,0.0,1.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0
6,p02891_s065270517,3,98.0,149.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,18.0,0.0,30.0,0.0,13.0,0.0,4.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,412.0,469.0,346.0,0.0,0.0,0.0,290.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,281.0,0.0,43.0,0.0,5.0,0.0,0.0,359.0,0.0,5.0,0.0,0.0
7,p03803_s230948394,3,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
8,p03201_s002158742,3,43.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,21.0,0.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,282.0,153.0,0.0,0.0,0.0,47.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,33.0,0.0,23.0,0.0,1.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0
9,p02811_s695761730,3,955.0,1381.0,1.0,0.0,265.0,0.0,76.0,0.0,0.0,0.0,91.0,0.0,155.0,1.0,138.0,0.0,38.0,3.0,5.0,60.0,4.0,9.0,10.0,0.0,12.0,3.0,14.0,18.0,14.0,12.0,0.0,0.0,0.0,317.0,152.0,3247.0,3960.0,3298.0,0.0,0.0,0.0,1731.0,28.0,36.0,49.0,0.0,0.0,0.0,6.0,0.0,9.0,82.0,0.0,1448.0,0.0,337.0,1.0,21.0,4.0,0.0,2630.0,0.0,166.0,0.0,0.0
